method,frame,time_sec,shift_z_px,shift_y_px,shift_x_px,shift_z_um,shift_y_um,shift_x_um
01_traditional,0,0,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,1,1700,0.0,3.25,0.0,0.0,0.4300537109375,0.0
01_traditional,2,2099,0.25,6.0,0.0,0.25,0.7939453125,0.0
01_traditional,3,3050,0.25,-4.0,0.25,0.25,-0.529296875,0.0333251953125
01_traditional,4,3164,0.25,-4.5,0.0,0.25,-0.595458984375,0.0
01_traditional,5,3540,0.0,4.25,0.0,0.0,0.5623779296875,0.0
01_traditional,6,3920,0.25,3.75,0.0,0.25,0.4962158203125,0.0
01_traditional,7,4297,-0.25,-0.25,0.0,-0.25,-0.0330810546875,0.0
01_traditional,8,4672,0.0,-2.75,0.25,0.0,-0.3638916015625,0.0333251953125
01_traditional,9,5067,0.25,0.25,0.0,0.25,0.0330810546875,0.0
01_traditional,10,5468,-0.25,4.25,0.25,-0.25,0.5623779296875,0.0333251953125
01_traditional,11,6422,0.0,-5.25,0.25,0.0,-0.6947021484375,0.0333251953125
01_traditional,12,6537,0.5,-6.75,0.0,0.5,-0.8931884765625,0.0
01_traditional,13,6912,0.0,-4.25,2.0,0.0,-0.5623779296875,0.2666015625
01_traditional,14,7288,-0.25,-5.25,0.0,-0.25,-0.6947021484375,0.0
01_traditional,15,7666,0.25,6.0,0.0,0.25,0.7939453125,0.0
01_traditional,16,8041,0.0,-4.25,0.25,0.0,-0.5623779296875,0.0333251953125
02_xy_z_split,0,0,0.0,0.0,0.0,0.0,0.0,0.0
02_xy_z_split,1,1700,-0.1,3.3,0.2,-0.1,0.436669921875,0.02666015625
02_xy_z_split,2,2099,0.3,6.2,0.0,0.3,0.82041015625,0.0
02_xy_z_split,3,3050,0.1,-3.7,0.1,0.1,-0.489599609375,0.013330078125
02_xy_z_split,4,3164,0.2,-4.3,0.0,0.2,-0.568994140625,0.0
02_xy_z_split,5,3540,0.5,4.1,0.1,0.5,0.542529296875,0.013330078125
02_xy_z_split,6,3920,0.5,3.9,0.0,0.5,0.5160644531249999,0.0
02_xy_z_split,7,4297,0.0,-0.2,-0.1,0.0,-0.02646484375,-0.013330078125
02_xy_z_split,8,4672,0.0,-0.2,0.0,0.0,-0.02646484375,0.0
02_xy_z_split,9,5067,0.0,0.2,-0.1,0.0,0.02646484375,-0.013330078125
02_xy_z_split,10,5468,-0.1,4.5,0.0,-0.1,0.595458984375,0.0
02_xy_z_split,11,6422,0.2,-5.8,0.2,0.2,-0.76748046875,0.02666015625
02_xy_z_split,12,6537,0.0,-6.1,2.8,0.0,-0.807177734375,0.3732421875
02_xy_z_split,13,6912,-0.4,-3.0,-0.1,-0.4,-0.39697265625,-0.013330078125
02_xy_z_split,14,7288,-0.1,-4.8,-0.1,-0.1,-0.63515625,-0.013330078125
02_xy_z_split,15,7666,0.3,6.2,-0.1,0.3,0.82041015625,-0.013330078125
02_xy_z_split,16,8041,0.2,-5.1,0.0,0.2,-0.674853515625,0.0
04_structure_laplacian,0,0,0.0,0.0,0.0,0.0,0.0,0.0
04_structure_laplacian,1,1700,0.0,2.8,-0.8,0.0,0.3705078125,-0.106640625
04_structure_laplacian,2,2099,0.1,6.3,0.4,0.1,0.833642578125,0.0533203125
04_structure_laplacian,3,3050,0.1,-4.9,1.8,0.1,-0.648388671875,0.23994140625000002
04_structure_laplacian,4,3164,0.1,-4.3,-0.3,0.1,-0.568994140625,-0.039990234374999996
04_structure_laplacian,5,3540,0.1,4.9,0.4,0.1,0.648388671875,0.0533203125
04_structure_laplacian,6,3920,0.0,4.1,0.5,0.0,0.542529296875,0.066650390625
04_structure_laplacian,7,4297,0.0,-0.2,1.7,0.0,-0.02646484375,0.22661132812499998
04_structure_laplacian,8,4672,0.0,-2.2,0.9,0.0,-0.29111328125,0.11997070312500001
04_structure_laplacian,9,5067,0.1,0.1,-0.1,0.1,0.013232421875,-0.013330078125
04_structure_laplacian,10,5468,0.0,3.5,2.3,0.0,0.463134765625,0.306591796875
04_structure_laplacian,11,6422,0.3,-5.9,0.0,0.3,-0.780712890625,0.0
04_structure_laplacian,12,6537,-0.2,-5.7,1.2,-0.2,-0.754248046875,0.15996093749999998
04_structure_laplacian,13,6912,0.0,-5.0,1.9,0.0,-0.66162109375,0.25327148437499997
04_structure_laplacian,14,7288,-0.1,-3.5,0.9,-0.1,-0.463134765625,0.11997070312500001
04_structure_laplacian,15,7666,0.1,5.2,0.9,0.1,0.6880859375,0.11997070312500001
04_structure_laplacian,16,8041,0.1,-5.3,-0.1,0.1,-0.701318359375,-0.013330078125
